codigo_localidad,nombre_localidad,codigo_divipola,poblacion,cobertura_acueducto_pct,cobertura_alcantarillado_pct,consumo_promedio_m3_suscriptor,horas_interrupcion_promedio_mes,irca_promedio,clasificacion_riesgo_irca,total_luminarias,tecnologia_led_pct,penetracion_internet_fijo_pct,velocidad_promedio_bajada_mbps,zonas_wifi_publicas
1,USAQUEN,1100101,550679,99.9,99.7,14.2,0.2,0.45,Sin Riesgo (Apta),32450,98.8,89.5,120.5,8
2,CHAPINERO,1100102,148068,99.9,99.8,13.8,0.1,0.45,Sin Riesgo (Apta),21200,99.1,92.4,120.5,8
3,SANTA FE,1100103,111539,99.8,99.6,12.5,0.3,0.85,Sin Riesgo (Apta),14500,97.9,68.2,65.0,14
4,SAN CRISTOBAL,1100104,383234,99.4,98.9,11.2,0.8,0.85,Sin Riesgo (Apta),26800,96.5,52.4,65.0,14
5,USME,1100105,414363,97.5,94.2,10.5,2.1,2.1,Sin Riesgo (Apta),22100,94.2,41.5,25.0,14
6,TUNJUELITO,1100106,167024,99.8,99.5,12.0,0.4,0.85,Sin Riesgo (Apta),18900,98.4,64.2,65.0,14
7,BOSA,1100107,801054,99.6,99.1,11.8,0.6,0.85,Sin Riesgo (Apta),34100,96.8,56.8,65.0,14
8,KENNEDY,1100108,1091115,99.7,99.4,12.4,0.5,0.85,Sin Riesgo (Apta),45600,97.5,65.4,65.0,14
9,FONTIBON,1100109,366152,99.9,99.7,13.5,0.2,0.45,Sin Riesgo (Apta),28900,98.9,82.1,120.5,8
10,ENGATIVA,1100110,795153,99.9,99.7,13.1,0.3,0.85,Sin Riesgo (Apta),43200,98.7,78.4,65.0,8
11,SUBA,1100111,1232535,99.8,99.6,13.9,0.4,0.85,Sin Riesgo (Apta),48900,98.6,86.2,120.5,8
12,BARRIOS UNIDOS,1100112,125963,99.9,99.8,13.4,0.2,0.85,Sin Riesgo (Apta),19800,99.2,84.5,120.5,8
13,TEUSAQUILLO,1100113,145356,99.9,99.8,13.6,0.1,0.45,Sin Riesgo (Apta),23400,99.3,91.8,120.5,8
14,LOS MARTIRES,1100114,73251,99.8,99.5,12.8,0.3,0.85,Sin Riesgo (Apta),15200,97.8,63.4,65.0,14
15,ANTONIO NARINO,1100115,69825,99.9,99.7,12.6,0.2,0.85,Sin Riesgo (Apta),16100,98.5,72.1,65.0,8
16,PUENTE ARANDA,1100116,238779,99.9,99.8,13.2,0.2,0.45,Sin Riesgo (Apta),27800,98.9,76.5,65.0,8
17,LA CANDELARIA,1100117,15048,99.9,99.7,12.1,0.2,0.85,Sin Riesgo (Apta),6200,99.0,74.2,65.0,8
18,RAFAEL URIBE URIBE,1100118,357395,99.3,98.7,11.4,0.9,0.85,Sin Riesgo (Apta),25400,96.9,54.1,65.0,14
19,CIUDAD BOLIVAR,1100119,724113,97.8,95.1,10.8,1.8,2.1,Sin Riesgo (Apta),31200,94.8,44.8,25.0,14
20,SUMAPAZ,1100120,3678,82.4,68.5,9.2,4.5,6.8,Riesgo Bajo,2800,88.5,18.2,25.0,5
